puntos,comision,produccion
7710,0.05,385500.0
7711,0.05,385550.0
7712,0.05,385600.0
7713,0.05,385650.0
7714,0.05,385700.0
7715,0.05,385750.0
7716,0.05,385800.0
7717,0.05,385850.0
7718,0.05,385900.0
7719,0.05,385950.0
7720,0.05,386000.0
7721,0.05,386050.0
7722,0.05,386100.0
7723,0.05,386150.0
7724,0.05,386200.0
7725,0.05,386250.0
7726,0.05,386300.0
7727,0.05,386350.0
7728,0.05,386400.0
7729,0.05,386450.0
7730,0.05,386500.0
7731,0.05,386550.0
7732,0.05,386600.0
7733,0.05,386650.0
7734,0.05,386700.0
7735,0.05,386750.0
7736,0.05,386800.0
7737,0.05,386850.0
7738,0.05,386900.0
7739,0.05,386950.0
7740,0.05,387000.0
7741,0.05,387050.0
7742,0.05,387100.0
7743,0.05,387150.0
7744,0.05,387200.0
7745,0.05,387250.0
7746,0.05,387300.0
7747,0.05,387350.0
7748,0.05,387400.0
7749,0.05,387450.0
7750,0.05,387500.0
7751,0.06,465060.0
7752,0.06,465120.0
7753,0.06,465180.0
7754,0.06,465240.0
7755,0.06,465300.0
7756,0.06,465360.0
7757,0.06,465420.0
7758,0.06,465480.0
7759,0.06,465540.0
7760,0.06,465600.0
7761,0.06,465660.0
7762,0.06,465720.0
7763,0.06,465780.0
7764,0.06,465840.0
7765,0.06,465900.0
7766,0.06,465960.0
7767,0.06,466020.0
7768,0.06,466080.0
7769,0.06,466140.0
7770,0.06,466200.0
7771,0.06,466260.0
7772,0.06,466320.0
7773,0.06,466380.0
7774,0.06,466440.0
7775,0.06,466500.0
7776,0.06,466560.0
7777,0.06,466620.0
7778,0.06,466680.0
7779,0.06,466740.0
7780,0.06,466800.0
7781,0.06,466860.0
7782,0.06,466920.0
7783,0.06,466980.0
7784,0.06,467040.0
7785,0.06,467100.0
7786,0.06,467160.0
7787,0.06,467220.0
7788,0.06,467280.0
7789,0.06,467340.0
7790,0.06,467400.0
7791,0.06,467460.0
7792,0.06,467520.0
7793,0.06,467580.0
7794,0.06,467640.0
7795,0.06,467700.0
7796,0.06,467760.0
7797,0.06,467820.0
7798,0.06,467880.0
7799,0.06,467940.0
7800,0.06,468000.0
7801,0.06,468060.0
7802,0.06,468120.0
7803,0.06,468180.0
7804,0.06,468240.0
7805,0.06,468300.0
7806,0.06,468360.0
7807,0.06,468420.0
7808,0.06,468480.0
7809,0.06,468540.0
7810,0.06,468600.0
7811,0.06,468660.0
7812,0.06,468720.0
7813,0.06,468780.0
7814,0.06,468840.0
7815,0.06,468900.0
7816,0.06,468960.0
7817,0.06,469020.0
7818,0.06,469080.0
7819,0.06,469140.0
7820,0.06,469200.0
7821,0.06,469260.0
7822,0.06,469320.0
7823,0.06,469380.0
7824,0.06,469440.0
7825,0.06,469500.0
7826,0.06,469560.0
7827,0.06,469620.0
7828,0.06,469680.0
7829,0.06,469740.0
7830,0.06,469800.0
7831,0.06,469860.0
7832,0.06,469920.0
7833,0.06,469980.0
7834,0.06,470040.0
7835,0.06,470100.0
7836,0.06,470160.0
7837,0.06,470220.0
7838,0.06,470280.0
7839,0.06,470340.0
7840,0.06,470400.0
7841,0.06,470460.0
7842,0.06,470520.0
7843,0.06,470580.0
7844,0.06,470640.0
7845,0.06,470700.0
7846,0.06,470760.0
7847,0.06,470820.0
7848,0.06,470880.0
7849,0.06,470940.0
7850,0.06,471000.0
7851,0.06,471060.0
7852,0.06,471120.0
7853,0.06,471180.0
7854,0.06,471240.0
7855,0.06,471300.0
7856,0.06,471360.0
7857,0.06,471420.0
7858,0.06,471480.0
7859,0.06,471540.0
7860,0.06,471600.0
7861,0.06,471660.0
7862,0.06,471720.0
7863,0.06,471780.0
7864,0.06,471840.0
7865,0.06,471900.0
7866,0.06,471960.0
7867,0.06,472020.0
7868,0.06,472080.0
7869,0.06,472140.0
7870,0.06,472200.0
7871,0.06,472260.0
7872,0.06,472320.0
7873,0.06,472380.0
7874,0.06,472440.0
7875,0.06,472500.0
7876,0.06,472560.0
7877,0.06,472620.0
7878,0.06,472680.0
7879,0.06,472740.0
7880,0.06,472800.0
7881,0.06,472860.0
7882,0.06,472920.0
7883,0.06,472980.0
7884,0.06,473040.0
7885,0.06,473100.0
7886,0.06,473160.0
7887,0.06,473220.0
7888,0.06,473280.0
7889,0.06,473340.0
7890,0.06,473400.0
7891,0.06,473460.0
7892,0.06,473520.0
7893,0.06,473580.0
7894,0.06,473640.0
7895,0.06,473700.0
7896,0.06,473760.0
7897,0.06,473820.0
7898,0.06,473880.0
7899,0.06,473940.0
7900,0.06,474000.0
7901,0.06,474060.0
7902,0.06,474120.0
7903,0.06,474180.0
7904,0.06,474240.0
